18 60 47 125
3 54 86 143
11 57 72 140
9 51 45 105
10 35 36 81
12 33 74 119
7 57 37 101
20 51 89 160
4 56 75 135
8 57 70 135
20 36 57 113
5 60 70 135
10 43 71 124
19 26 64 109
4 50 87 141
10 21 70 101
14 26 59 99
15 45 22 82
14 35 77 126
3 22 77 102
12 34 70 116
20 32 80 132
14 42 45 101
11 47 48 106
13 29 77 119
6 27 25 58
3 57 27 87
16 58 20 94
5 46 36 87
14 27 46 87
10 39 58 107
11 59 80 150
14 22 79 115
16 38 72 126
16 39 63 118
12 59 50 121
8 53 64 125
14 51 8 73
17 21 72 110
20 31 63 114
15 40 13 68
18 36 90 144
8 46 64 118
4 58 4 66
18 34 6 58
11 49 19 79
4 49 34 87
13 33 31 77
15 32 62 109
12 31 15 58
12 33 9 54
18 37 79 134
12 34 67 113
10 35 47 92
10 24 62 96
9 41 25 75
3 22 6 31
12 23 48 83
15 20 43 78
15 29 69 113
14 55 14 83
12 45 20 77
7 56 26 89
9 56 37 102
12 58 86 156
16 41 35 92
15 46 46 107
13 54 28 95
5 21 4 30
19 39 67 125
10 47 41 98
5 40 27 72
8 54 13 75
8 51 51 110
8 42 80 130
10 53 64 127
13 42 49 104
18 52 23 93
17 25 15 57
16 37 80 133
15 28 47 90
20 60 25 105
13 45 44 102
6 54 6 66
5 44 70 119
6 31 64 101
18 48 40 106
12 24 18 54
18 49 25 92
14 40 40 94
10 44 81 135
20 51 23 94
7 59 13 79
3 35 70 108
4 53 88 145
14 53 21 88
12 53 16 81
20 38 29 87
4 39 39 82
12 22 48 82
17 41 63 121
20 57 63 140
3 35 16 54
4 20 70 94
16 47 83 146
13 58 81 152
15 36 40 91
17 38 19 74
3 30 65 98
8 42 44 94
12 30 70 112
6 44 34 84
5 45 36 86
20 28 66 114
10 32 17 59
20 32 34 86
7 20 66 93
19 58 22 99
11 55 73 139
4 36 36 76
18 58 53 129
3 43 82 128
13 56 81 150
11 56 76 143
6 52 67 125
13 20 38 71
17 55 62 134
16 45 15 76
4 32 75 111
18 26 73 117
17 49 88 154
11 27 57 95
